candidate_id,rank,score,reasoning
CAND_0044855,32,0.8660,Senior Data Scientist with 6.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.57
CAND_0080766,33,0.8620,Staff Machine Learning Engineer with 8.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background
CAND_0047721,34,0.8580,Senior Data Scientist with 7.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.49; notice period concern: 90 days
CAND_0088025,35,0.8540,Staff Machine Learning Engineer with 8.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.83; notice period concern: 90 days
CAND_0030953,36,0.8500,Search Engineer with 7.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.63
CAND_0071974,37,0.8460,Senior AI Engineer with 7.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.76
CAND_0075439,38,0.8420,Machine Learning Engineer with 4.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.56
CAND_0087630,39,0.8380,AI Engineer with 7.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background
CAND_0066376,40,0.8340,Applied ML Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.51; notice period concern: 90 days
CAND_0098846,41,0.8300,AI Engineer with 7.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.62
CAND_0013393,42,0.8260,ML Engineer with 5.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.33
CAND_0049896,43,0.8220,Search Engineer with 7.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.43; notice period concern: 90 days
CAND_0061339,44,0.8180,Search Engineer with 4.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.90; notice period concern: 90 days
CAND_0044883,45,0.8140,AI Engineer with 6.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.84; notice period concern: 90 days
CAND_0005260,46,0.8100,Senior NLP Engineer with 5.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.86
CAND_0030031,47,0.8060,AI Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.94
CAND_0086022,48,0.8020,Senior Applied Scientist with 5.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.55
CAND_0056881,49,0.7980,Machine Learning Engineer with 4.5 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.75; notice period concern: 90 days
CAND_0076831,50,0.7940,Search Engineer with 4.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.50; notice period concern: 90 days
CAND_0057563,51,0.7900,NLP Engineer with 6.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.83
CAND_0042100,52,0.7860,Machine Learning Engineer with 7.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.87; notice period concern: 90 days
CAND_0067866,53,0.7820,Senior Software Engineer (ML) with 6.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.79
CAND_0079284,54,0.7780,Machine Learning Engineer with 4.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.79
CAND_0020877,55,0.7740,Applied ML Engineer with 5.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.66
CAND_0064270,56,0.7700,Applied ML Engineer with 4.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.82
CAND_0008425,57,0.7660,Senior NLP Engineer with 7.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.66; notice period concern: 90 days
CAND_0050876,58,0.7620,Applied ML Engineer with 6.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.67; notice period concern: 90 days
CAND_0060072,59,0.7580,Staff Machine Learning Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; notice period concern: 90 days
CAND_0043228,60,0.7540,Applied ML Engineer with 6.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.41
CAND_0015528,61,0.7500,Applied ML Engineer with 7.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.53
CAND_0036437,62,0.7460,Search Engineer with 4.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.87
CAND_0076251,63,0.7420,Search Engineer with 7.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.51
CAND_0055905,64,0.7380,Senior Machine Learning Engineer with 8.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.87
CAND_0095528,65,0.7340,Senior Data Scientist with 5.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.55
CAND_0022812,66,0.7300,Applied ML Engineer with 4.5 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background
CAND_0041568,67,0.7260,Search Engineer with 5.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.52; notice period concern: 90 days
CAND_0015967,68,0.7220,Senior Software Engineer (ML) with 5.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.45
CAND_0093547,69,0.7180,Senior Machine Learning Engineer with 2.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.75
CAND_0032515,70,0.7140,Machine Learning Engineer with 5.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.54
CAND_0062247,71,0.7100,AI Engineer with 7.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.78
CAND_0037000,72,0.7060,Search Engineer with 2.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.61
CAND_0037944,73,0.7020,Senior Data Scientist with 4.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.42
CAND_0006557,74,0.6980,NLP Engineer with 7.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.63; notice period concern: 120 days
CAND_0060054,75,0.6940,AI Engineer with 6.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.86
CAND_0001610,76,0.6900,Machine Learning Engineer with 3.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.57; notice period concern: 90 days
CAND_0033861,77,0.6860,Senior NLP Engineer with 8.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background
CAND_0013613,78,0.6820,Machine Learning Engineer with 4.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.73
CAND_0096142,79,0.6780,Applied ML Engineer with 5.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.84; notice period concern: 120 days
CAND_0051292,80,0.6740,Applied ML Engineer with 5.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.52
CAND_0051004,81,0.6700,Senior Data Scientist with 4.7 yrs; strong retrieval/ranking/vector-search evidence; product/user-facing system background; active behavioral signals; response rate 0.41
CAND_0060835,82,0.6660,Senior Software Engineer (ML) with 6.6 yrs; strong retrieval/ranking/vector-search evidence; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.32; notice period concern: 90 days
CAND_0091890,83,0.6620,AI Research Engineer with 4.7 yrs; strong retrieval/ranking/vector-search evidence; product/user-facing system background; active behavioral signals; response rate 0.49
CAND_0028793,84,0.6580,Search Engineer with 7.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.57; notice period concern: 120 days
CAND_0030784,85,0.6540,Data Scientist with 4.4 yrs; strong retrieval/ranking/vector-search evidence; product/user-facing system background; active behavioral signals; response rate 0.90; notice period concern: 90 days
CAND_0048558,86,0.6500,Data Scientist with 6.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.80
CAND_0099806,87,0.6460,AI Engineer with 4.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.76
CAND_0019480,88,0.6420,NLP Engineer with 2.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.87; notice period concern: 90 days
CAND_0029367,89,0.6380,Senior Data Scientist with 5.7 yrs; strong retrieval/ranking/vector-search evidence; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.77; notice period concern: 90 days
CAND_0058575,90,0.6340,AI Engineer with 5.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.69; notice period concern: 90 days
CAND_0076163,91,0.6300,NLP Engineer with 6.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.84
CAND_0069905,92,0.6260,Applied ML Engineer with 6.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.78; notice period concern: 90 days
CAND_0040178,93,0.6220,ML Engineer with 5.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.55
CAND_0089947,94,0.6180,Junior ML Engineer with 5.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.59; notice period concern: 90 days
CAND_0069771,95,0.6140,Junior ML Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.36
CAND_0053591,96,0.6100,AI Engineer with 5.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.81
CAND_0032807,97,0.6060,Machine Learning Engineer with 4.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.51; notice period concern: 90 days
CAND_0015065,98,0.6020,AI Research Engineer with 3.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.84; notice period concern: 90 days
CAND_0009691,99,0.5980,Applied ML Engineer with 6.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.64; notice period concern: 120 days
CAND_0099401,100,0.5940,NLP Engineer with 7.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; notice period concern: 90 days
